startTime,endTime,type,subtype,source,assetExternalIds,KEY,source,sourceId,WORKORDER_NUMBER,WORKORDER_STATUS,WORKORDER_ISACTIVE,WORKORDER_TASKDESC,WORKORDER_TASKNAME,WORKORDER_TASKNUMBER,WORKORDER_TASKISCOMPLETED,WORKORDER_TISLOCATIONCODE,WORKORDER_TASKPREDECTASKNO,WORKORDER_TASKSHUTDOWNDESC,WORKORDER_STATUSISCOMPLETED,WORKORDER_TASKCOMPLETEDDATE,WORKORDER_TASKDURATIONHOURS,WORKORDER_TASKDISCIPLINEDESC,WORKORDER_TASKPREDECTASKNAME,WORKORDER_TASKREMAININGHOURS,WORKORDER_TASKPREDECDEPENDENCY
1353049200000,1354116641000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077201_20,akerbp-cdp,8823024485020485,FAO-077201,600,NO,Excecute Routine ***-VPH-CM-***,Monthly SCORE meeting with BP,20,YES,VAL,,Under drift,YES,,8,Onshore,,0,
1353049200000,1353421469000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077206_30,akerbp-cdp,7685156772151987,FAO-077206,600,NO,*** ***-VPH-CM-***,Monthly monitoring control valves,30,YES,VAL,,Under drift,YES,2012-11-20T14:24:11,2,Onshore,,0,
1353049200000,1354222247000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077202_20,akerbp-cdp,189212802634409,FAO-077202,600,NO,Excecute Routine ***-VPH-CM-***,Monthly SKF meeting with BP,20,YES,VAL,,Under drift,YES,2012-11-29T20:50:14,20,Onshore,,0,
1353049200000,1353422282000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077205_10,akerbp-cdp,7064010698301763,FAO-077205,600,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,YES,VAL,,,YES,,1,Onshore,,0,
1353049200000,1354116641000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077201_10,akerbp-cdp,4139062516372497,FAO-077201,600,NO,Excecute Routine ***-VPH-CM-***,Daily analysis of ***-MAP,10,YES,VAL,,Under drift,YES,,2,Onshore,,0,
1353049200000,1354223172000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077204_10,akerbp-cdp,2872158670455306,FAO-077204,600,NO,Excecute Routine ***-VPH-CM-***,Daily analysis of System1,10,YES,VAL,,Under drift,YES,2012-11-29T21:05:00,2,Onshore,,0,
1353049200000,1354117565000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077207_20,akerbp-cdp,2239263732881639,FAO-077207,600,NO,Excecute Routine ***-VPH-CM-***,Monthly meeting with SCORE,20,YES,VAL,,Under drift,YES,,4,Onshore,,0,
1353049200000,1354222247000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077202_30,akerbp-cdp,1519253281161071,FAO-077202,600,NO,Excecute Routine ***-VPH-CM-***,Monthly oil analysis,30,YES,VAL,,Under drift,YES,2012-11-29T20:50:07,2,Onshore,,0,
1353049200000,1353421469000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077206_10,akerbp-cdp,943885030210232,FAO-077206,600,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,YES,VAL,,,YES,2012-11-20T14:24:07,2,Onshore,,0,
1353567600000,1354222757000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077203_10,akerbp-cdp,1117955586862587,FAO-077203,600,NO,Excecute Routine ***-VPH-CM-***,Daily CM data reveiw and analysis,10,YES,VAL,,Under drift,YES,2012-11-29T20:58:10,4,Onshore,,0,
1354172400000,1354633773000.0,Worktask,VAL,akerbp-cdp,WMT:45-PT-92609,VAL_FAO-077270_1,akerbp-cdp,6698678209022831,FAO-077270,600,NO,Utføres *** rutine: ***(SIS)***,"*** MND AUTO, Kontroll av sikkerhetskritisk instrumentering",1,YES,VAL,,Under drift,YES,,4,Automasjon,,0,
1354345200000,1356825600000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-078432_10,akerbp-cdp,2295954684254442,FAO-078432,900,NO,Excecute Routine ***-VPH-CM-***,Daily analysis of ***-MAP,10,NO,VAL,,Under drift,NO,,2,Onshore,,2,
1354345200000,1356825600000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-078437_30,akerbp-cdp,5539996288161911,FAO-078437,900,NO,*** ***-VPH-CM-***,Monthly monitoring control valves,30,NO,VAL,,Under drift,NO,,2,Onshore,,2,
1354345200000,1356825600000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-078436_10,akerbp-cdp,2893393496548416,FAO-078436,900,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,NO,VAL,,,NO,,1,Onshore,,1,
1354345200000,1356606064000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-078433_30,akerbp-cdp,1427476746672419,FAO-078433,600,NO,Excecute Routine ***-VPH-CM-***,Monthly oil analysis,30,YES,VAL,,Under drift,YES,2012-12-27T11:00:44,2,Onshore,,0,
1354345200000,1356825600000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-078437_10,akerbp-cdp,489958408603241,FAO-078437,900,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,NO,VAL,,,NO,,2,Onshore,,2,
1354345200000,1356825600000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-078432_20,akerbp-cdp,5549543008654373,FAO-078432,900,NO,Excecute Routine ***-VPH-CM-***,Monthly SCORE meeting with BP,20,NO,VAL,,Under drift,NO,,8,Onshore,,8,
