"key","externalId","sourceExternalId","targetExternalId"
"FAO-126325-WMT:23-ZT-96121-03","FAO-126325-WMT:23-ZT-96121-03","FAO-126325","WMT:23-ZT-96121-03"
"FAO-128773-WMT:45-V-90352","FAO-128773-WMT:45-V-90352","FAO-128773","WMT:45-V-90352"
"FAO-128978-WMT:23-YVX-92445","FAO-128978-WMT:23-YVX-92445","FAO-128978","WMT:23-YVX-92445"
"FAO-128978-WMT:23-YZSH-92545","FAO-128978-WMT:23-YZSH-92545","FAO-128978","WMT:23-YZSH-92545"
"FAO-130859-WMT:45-HV-92509","FAO-130859-WMT:45-HV-92509","FAO-130859","WMT:45-HV-92509"
"FAO-132555-WMT:23-YSV-92526","FAO-132555-WMT:23-YSV-92526","FAO-132555","WMT:23-YSV-92526"
"FAO-132559-WMT:23-TIC-96147","FAO-132559-WMT:23-TIC-96147","FAO-132559","WMT:23-TIC-96147"
"FAO-132783-WMT:23-HV-92527-01","FAO-132783-WMT:23-HV-92527-01","FAO-132783","WMT:23-HV-92527-01"
"FAO-132783-WMT:23-HV-92540-03","FAO-132783-WMT:23-HV-92540-03","FAO-132783","WMT:23-HV-92540-03"
"FAO-132879-WMT:23-HV-96173-02","FAO-132879-WMT:23-HV-96173-02","FAO-132879","WMT:23-HV-96173-02"
"FAO-132909-WMT:23-HS-92501B-05","FAO-132909-WMT:23-HS-92501B-05","FAO-132909","WMT:23-HS-92501B-05"
"FAO-135488-WMT:23-KA-9101","FAO-135488-WMT:23-KA-9101","FAO-135488","WMT:23-KA-9101"
"IAO-021680-WMT:23-PSV-96172","IAO-021680-WMT:23-PSV-96172","IAO-021680","WMT:23-PSV-96172"
"IAO-025093-WMT:45-PSV-92613","IAO-025093-WMT:45-PSV-92613","IAO-025093","WMT:45-PSV-92613"
"IAO-027941-WMT:48-PSV-96963","IAO-027941-WMT:48-PSV-96963","IAO-027941","WMT:48-PSV-96963"
"IAO-031442-WMT:23-FPSV-92543","IAO-031442-WMT:23-FPSV-92543","IAO-031442","WMT:23-FPSV-92543"
"IAO-031546-WMT:23-PSV-92527","IAO-031546-WMT:23-PSV-92527","IAO-031546","WMT:23-PSV-92527"
"IAO-033321-WMT:23-PSV-96172","IAO-033321-WMT:23-PSV-96172","IAO-033321","WMT:23-PSV-96172"
"KAO-101281-WMT:23-HS-92521-05","KAO-101281-WMT:23-HS-92521-05","KAO-101281","WMT:23-HS-92521-05"
"KAO-105436-WMT:23-LT-92523-01","KAO-105436-WMT:23-LT-92523-01","KAO-105436","WMT:23-LT-92523-01"
"KAO-110567-WMT:23-PV-92538","KAO-110567-WMT:23-PV-92538","KAO-110567","WMT:23-PV-92538"
"KAO-112021-WMT:23-PDT-96167","KAO-112021-WMT:23-PDT-96167","KAO-112021","WMT:23-PDT-96167"
"KAO-112506-WMT:23-YT-96105-02","KAO-112506-WMT:23-YT-96105-02","KAO-112506","WMT:23-YT-96105-02"
"KAO-114349-WMT:23-VG-9101","KAO-114349-WMT:23-VG-9101","KAO-114349","WMT:23-VG-9101"
"KAO-115401-WMT:23-HV-92540-01","KAO-115401-WMT:23-HV-92540-01","KAO-115401","WMT:23-HV-92540-01"
"KAO-116682-WMT:23-YE-96105-02","KAO-116682-WMT:23-YE-96105-02","KAO-116682","WMT:23-YE-96105-02"
