OBJECTID,FacilityID,InstallDate,LifeCycleStatus,LocationDescription,Comments,PumpOn,PumpOff,PumpOutDia,VFD,VFDSetting,Position,LiftStationID,PumpNumber,PumpHP,HighHeadShutOff,DesignPointHeadFT,DesignPointFlowGPM,LowHeadFT,LowHeadFlowGPM,PumpControl,PumpModel,LastUpdate,LastEditor,Enabled,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
208,CPUMP089B,2011/05/01 00:00:00+00,D,"Murphy Interim - 20555 Murphy Rd., 97702","Col Lift Sta. Murphy Interim - Murphy Rd., W. of Brosterhous",3732.67,3729.75,4,Yes,,LAG1,Murphy Interim, ,30,0,147.8,352,126,700, ,3171.091-0224,2020/09/22 13:22:17+00,BEND\dzarate,1,5e2d0990-2c26-4513-ad43-63eaa51afcd6,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.693166141935
209,CPUMP054A,2006/06/26 00:00:00+00,AB,"The Shire - 61300 SE Ring Bearer's Ct., 97702",Col Lift Sta. #54   The Shire - The Shire Subdivision,3754.57,3753.65,4, ,,LEAD,The Shire, ,20,0,94,200,85,400, ,S4VX2000JC,2023/03/07 13:45:12+00,BEND\dzarate,1,87977b75-3b3b-4672-b1fb-a1d79e2f1b87,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/07 21:45:12+00,6.24865958767433
210,CPUMP054B,2006/06/26 00:00:00+00,AB,"The Shire - 61300 SE Ring Bearer's Ct., 97702",Col Lift Sta. #54   The Shire - The Shire Subdivision,3755.07,3753.65,4, ,,LAG1,The Shire, ,20,0,94,200,85,400, ,S4VX2000JC,2023/03/07 13:45:12+00,BEND\dzarate,1,6fa229cb-980d-4e22-bf6a-d49a7d412763,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/07 21:45:12+00,6.27445362104469
211,CPUMP065A,2002/09/18 00:00:00+00,I,"Pheasant Run - 19840 Hollygrape, 97702",Col Lift Sta. #65   Pheasant Run - Corner of Hollygrape and Lodgepole,3815.13,3812.97,4,Yes,,LEAD,Pheasant Run, ,5,0,48,125,38,300, ,3102.090-1051,,,1,4a6771cc-2730-4f8f-817c-741ea37c22f9,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/02/16 16:18:31+00,6.68438031702623
212,CPUMP065B,2002/09/18 00:00:00+00,I,"Pheasant Run - 19840 Hollygrape, 97702",Col Lift Sta. #65   Pheasant Run - Corner of Hollygrape and Lodgepole,3815.97,3812.97,4,Yes,,LAG1,Pheasant Run, ,5,0,48,125,38,300, ,3102.090-1051,,,1,3d7d4b75-9c71-4fb7-87c3-1a7c8f753e7f,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/02/16 16:18:31+00,6.66985205248872
213,CPUMP066A,2002/06/04 00:00:00+00,I,"River Canyon #2 - 19712 Hollygrape, 97702","Col Lift Sta. #66   River Canyon 2 - River Canyon Estates, In front of 19704 Hollygrape",3819,3817,4, ,,LEAD,River Canyon #2, ,10,0,55,395,35.5,700, ,3127.090-2226,,,1,45903e7f-c506-4595-a1c4-2a6e912bd40c,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.98255724866937
214,CPUMP066B,2002/06/04 00:00:00+00,I,"River Canyon #2 - 19712 Hollygrape, 97702","Col Lift Sta. #66   River Canyon 2 - River Canyon Estates, In front of 19704 Hollygrape",3819.67,3817,4, ,,LAG1,River Canyon #2, ,10,0,55,395,35.5,700, ,3127.090-2226,,,1,63059b43-1a6d-4d2e-afc3-d8607da1a0eb,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.14516313922291
215,CPUMP067A,2005/03/22 00:00:00+00,I,"Aspen Ridge - 19689 Aspen Ridge Dr., 97702","Col Lift Sta. #67   Aspen Ridge -Aspen Rim, Common Area, Princeton Loop",3819.25,3818.08,4, ,,LEAD,Aspen Ridge, ,25,0,130,178,110,350, ,4RCX250M2-43,,,1,e679cefa-86fe-4d94-b125-0b5b85895b27,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/02/16 16:22:30+00,5.02846503481187
216,CPUMP067B,2005/03/22 00:00:00+00,I,"Aspen Ridge - 19689 Aspen Ridge Dr., 97702","Col Lift Sta. #67   Aspen Ridge -Aspen Rim, Common Area, Princeton Loop",3819.75,3818.08,4, ,,LAG1,Aspen Ridge, ,25,0,130,178,110,350, ,4RCX250M2-43,,,1,72be33b3-2d68-459a-be2e-ef19d22e7ac6,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/02/16 16:22:30+00,7.14031921007851
217,CPUMP068A,2002/06/04 00:00:00+00,I,"River Canyon #1 - 19489 Hollygrape, 97702","Col Lift Sta. #68   River Canyon 1 - River Canyon Estates, Ph. 1, On Hollygrape, Common",3823.25,3820.5,4, ,,LEAD,River Canyon #1, ,5,0,38,125,31.8,250, ,S4NX500CC,,,1,ef9e0012-af74-46f5-9c28-4d87e3572697,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,8.31599600002941
