"key","externalId","sourceExternalId","targetExternalId"
"FAO-136006-FAO-136006-10","FAO-136006-FAO-136006-10","FAO-136006","FAO-136006-10"
"FAO-137110-FAO-137110-01","FAO-137110-FAO-137110-01","FAO-137110","FAO-137110-01"
"FAO-137430-FAO-137430-01","FAO-137430-FAO-137430-01","FAO-137430","FAO-137430-01"
"FAO-137483-FAO-137483-10","FAO-137483-FAO-137483-10","FAO-137483","FAO-137483-10"
"FAO-139503-FAO-139503-","FAO-139503-FAO-139503-","FAO-139503","FAO-139503-"
"FAO-139625-FAO-139625-02","FAO-139625-FAO-139625-02","FAO-139625","FAO-139625-02"
"FAO-141009-FAO-141009-10","FAO-141009-FAO-141009-10","FAO-141009","FAO-141009-10"
"FAO-141654-FAO-141654-","FAO-141654-FAO-141654-","FAO-141654","FAO-141654-"
"FAO-144779-FAO-144779-01","FAO-144779-FAO-144779-01","FAO-144779","FAO-144779-01"
"FAO-146907-FAO-146907-","FAO-146907-FAO-146907-","FAO-146907","FAO-146907-"
"FAO-147754-FAO-147754-","FAO-147754-FAO-147754-","FAO-147754","FAO-147754-"
"FAO-147782-FAO-147782-","FAO-147782-FAO-147782-","FAO-147782","FAO-147782-"
"FAO-147854-FAO-147854-","FAO-147854-FAO-147854-","FAO-147854","FAO-147854-"
"FAO-147935-FAO-147935-","FAO-147935-FAO-147935-","FAO-147935","FAO-147935-"
"FAO-148036-FAO-148036-","FAO-148036-FAO-148036-","FAO-148036","FAO-148036-"
"FAO-149170-FAO-149170-010","FAO-149170-FAO-149170-010","FAO-149170","FAO-149170-010"
"FAO-150851-FAO-150851-","FAO-150851-FAO-150851-","FAO-150851","FAO-150851-"
"FAO-153039-FAO-153039-01","FAO-153039-FAO-153039-01","FAO-153039","FAO-153039-01"
"FAO-153060-FAO-153060-1","FAO-153060-FAO-153060-1","FAO-153060","FAO-153060-1"
"FAO-155237-FAO-155237-1","FAO-155237-FAO-155237-1","FAO-155237","FAO-155237-1"
"IAO-018563-IAO-018563-","IAO-018563-IAO-018563-","IAO-018563","IAO-018563-"
"IAO-019121-IAO-019121-1","IAO-019121-IAO-019121-1","IAO-019121","IAO-019121-1"
"IAO-021684-IAO-021684-","IAO-021684-IAO-021684-","IAO-021684","IAO-021684-"
"IAO-022051-IAO-022051-","IAO-022051-IAO-022051-","IAO-022051","IAO-022051-"
"IAO-025088-IAO-025088-","IAO-025088-IAO-025088-","IAO-025088","IAO-025088-"
"IAO-025093-IAO-025093-","IAO-025093-IAO-025093-","IAO-025093","IAO-025093-"
"IAO-028069-IAO-028069-","IAO-028069-IAO-028069-","IAO-028069","IAO-028069-"
"IAO-029703-IAO-029703-1","IAO-029703-IAO-029703-1","IAO-029703","IAO-029703-1"
"IAO-036165-IAO-036165-","IAO-036165-IAO-036165-","IAO-036165","IAO-036165-"
"KAO-098462-KAO-098462-","KAO-098462-KAO-098462-","KAO-098462","KAO-098462-"
"KAO-103130-KAO-103130-","KAO-103130-KAO-103130-","KAO-103130","KAO-103130-"
"KAO-105255-KAO-105255-","KAO-105255-KAO-105255-","KAO-105255","KAO-105255-"
"KAO-106851-KAO-106851-","KAO-106851-KAO-106851-","KAO-106851","KAO-106851-"
"KAO-113961-KAO-113961-","KAO-113961-KAO-113961-","KAO-113961","KAO-113961-"
"KAO-116682-KAO-116682-","KAO-116682-KAO-116682-","KAO-116682","KAO-116682-"
"KAO-118687-KAO-118687-","KAO-118687-KAO-118687-","KAO-118687","KAO-118687-"
"KAO-121879-KAO-121879-1","KAO-121879-KAO-121879-1","KAO-121879","KAO-121879-1"
"KAO-125897-KAO-125897-","KAO-125897-KAO-125897-","KAO-125897","KAO-125897-"
"KAO-126249-KAO-126249-","KAO-126249-KAO-126249-","KAO-126249","KAO-126249-"
"KAO-127096-KAO-127096-","KAO-127096-KAO-127096-","KAO-127096","KAO-127096-"
"KAO-130241-KAO-130241-","KAO-130241-KAO-130241-","KAO-130241","KAO-130241-"
"KAO-131223-KAO-131223-2","KAO-131223-KAO-131223-2","KAO-131223","KAO-131223-2"
"KAO-134852-KAO-134852-","KAO-134852-KAO-134852-","KAO-134852","KAO-134852-"
"KAO-145068-KAO-145068-","KAO-145068-KAO-145068-","KAO-145068","KAO-145068-"
"KAO-145795-KAO-145795-","KAO-145795-KAO-145795-","KAO-145795","KAO-145795-"
"KAO-148976-KAO-148976-","KAO-148976-KAO-148976-","KAO-148976","KAO-148976-"
"KAO-153901-KAO-153901-","KAO-153901-KAO-153901-","KAO-153901","KAO-153901-"
"KAO-154628-KAO-154628-","KAO-154628-KAO-154628-","KAO-154628","KAO-154628-"
"KAO-156965-KAO-156965-","KAO-156965-KAO-156965-","KAO-156965","KAO-156965-"
