"key","externalId","sourceExternalId","targetExternalId"
"WMT:23-DB-9101-WMT:23-YT-96123","WMT:23-DB-9101-WMT:23-YT-96123","WMT:23-DB-9101","WMT:23-YT-96123"
"WMT:23-ESDV-92501B-WMT:23-EZSH-92501B","WMT:23-ESDV-92501B-WMT:23-EZSH-92501B","WMT:23-ESDV-92501B","WMT:23-EZSH-92501B"
"WMT:23-ESDV-92521-WMT:23-ESDP-92521","WMT:23-ESDV-92521-WMT:23-ESDP-92521","WMT:23-ESDV-92521","WMT:23-ESDP-92521"
"WMT:23-ESDV-92551A-WMT:23-ESDV-92551A-J01","WMT:23-ESDV-92551A-WMT:23-ESDV-92551A-J01","WMT:23-ESDV-92551A","WMT:23-ESDV-92551A-J01"
"WMT:23-ESDV-92551A-WMT:23-EXY-92551A-03","WMT:23-ESDV-92551A-WMT:23-EXY-92551A-03","WMT:23-ESDV-92551A","WMT:23-EXY-92551A-03"
"WMT:23-ESDV-92551B-WMT:23-EPV-92551B","WMT:23-ESDV-92551B-WMT:23-EPV-92551B","WMT:23-ESDV-92551B","WMT:23-EPV-92551B"
"WMT:23-ESDV-92551B-WMT:23-EZSM-92551B","WMT:23-ESDV-92551B-WMT:23-EZSM-92551B","WMT:23-ESDV-92551B","WMT:23-EZSM-92551B"
"WMT:23-FE-9122-WMT:23-FE-9122-24","WMT:23-FE-9122-WMT:23-FE-9122-24","WMT:23-FE-9122","WMT:23-FE-9122-24"
"WMT:23-FT-92537-02-WMT:23-FAH-92537-02","WMT:23-FT-92537-02-WMT:23-FAH-92537-02","WMT:23-FT-92537-02","WMT:23-FAH-92537-02"
"WMT:23-FT-92537-02-WMT:23-FAL-92537-02","WMT:23-FT-92537-02-WMT:23-FAL-92537-02","WMT:23-FT-92537-02","WMT:23-FAL-92537-02"
"WMT:23-FT-96151-WMT:23-FI-96151","WMT:23-FT-96151-WMT:23-FI-96151","WMT:23-FT-96151","WMT:23-FI-96151"
"WMT:23-FT-96152-WMT:23-FE-96152","WMT:23-FT-96152-WMT:23-FE-96152","WMT:23-FT-96152","WMT:23-FE-96152"
"WMT:23-FT-96158-WMT:23-FAL-96158","WMT:23-FT-96158-WMT:23-FAL-96158","WMT:23-FT-96158","WMT:23-FAL-96158"
"WMT:23-FT-96159-WMT:23-FAL-96159","WMT:23-FT-96159-WMT:23-FAL-96159","WMT:23-FT-96159","WMT:23-FAL-96159"
"WMT:23-FV-92542-WMT:23-FZSH-92542","WMT:23-FV-92542-WMT:23-FZSH-92542","WMT:23-FV-92542","WMT:23-FZSH-92542"
"WMT:23-FV-92543-WMT:23-FIC-92543-03","WMT:23-FV-92543-WMT:23-FIC-92543-03","WMT:23-FV-92543","WMT:23-FIC-92543-03"
"WMT:23-FV-92543-WMT:23-FIC-92543-08","WMT:23-FV-92543-WMT:23-FIC-92543-08","WMT:23-FV-92543","WMT:23-FIC-92543-08"
"WMT:23-GK-9107A-WMT:23-GK-9107A-H01","WMT:23-GK-9107A-WMT:23-GK-9107A-H01","WMT:23-GK-9107A","WMT:23-GK-9107A-H01"
"WMT:23-HA-9103-WMT:23-FT-92512","WMT:23-HA-9103-WMT:23-FT-92512","WMT:23-HA-9103","WMT:23-FT-92512"
"WMT:23-HA-9103-WMT:23-TT-92512","WMT:23-HA-9103-WMT:23-TT-92512","WMT:23-HA-9103","WMT:23-TT-92512"
"WMT:23-HA-9103-WMT:45-PT-92508","WMT:23-HA-9103-WMT:45-PT-92508","WMT:23-HA-9103","WMT:45-PT-92508"
"WMT:23-HA-9103-WMT:45-TT-92506","WMT:23-HA-9103-WMT:45-TT-92506","WMT:23-HA-9103","WMT:45-TT-92506"
"WMT:23-KA-9101-M01-WMT:23-KA-9101-M01-34","WMT:23-KA-9101-M01-WMT:23-KA-9101-M01-34","WMT:23-KA-9101-M01","WMT:23-KA-9101-M01-34"
"WMT:23-KA-9101-M01-WMT:23-PCV-96139","WMT:23-KA-9101-M01-WMT:23-PCV-96139","WMT:23-KA-9101-M01","WMT:23-PCV-96139"
"WMT:23-KA-9101-M01-WMT:23-PDT-96140","WMT:23-KA-9101-M01-WMT:23-PDT-96140","WMT:23-KA-9101-M01","WMT:23-PDT-96140"
"WMT:23-KA-9101-M01-WMT:23-TE-96131-02","WMT:23-KA-9101-M01-WMT:23-TE-96131-02","WMT:23-KA-9101-M01","WMT:23-TE-96131-02"
"WMT:23-KA-9101-M01-WMT:23-YE-96133-01","WMT:23-KA-9101-M01-WMT:23-YE-96133-01","WMT:23-KA-9101-M01","WMT:23-YE-96133-01"
"WMT:23-KA-9101-WMT:23-KA-9101-APH","WMT:23-KA-9101-WMT:23-KA-9101-APH","WMT:23-KA-9101","WMT:23-KA-9101-APH"
"WMT:23-KA-9101-WMT:23-KA-9101-ESP","WMT:23-KA-9101-WMT:23-KA-9101-ESP","WMT:23-KA-9101","WMT:23-KA-9101-ESP"
"WMT:23-KA-9101-WMT:23-KA-9101-PHD","WMT:23-KA-9101-WMT:23-KA-9101-PHD","WMT:23-KA-9101","WMT:23-KA-9101-PHD"
"WMT:23-KA-9101-WMT:23-KA-9101-SPD","WMT:23-KA-9101-WMT:23-KA-9101-SPD","WMT:23-KA-9101","WMT:23-KA-9101-SPD"
"WMT:23-KB-9103-WMT:23-CB-9133","WMT:23-KB-9103-WMT:23-CB-9133","WMT:23-KB-9103","WMT:23-CB-9133"
"WMT:23-KB-9103-WMT:23-XY-96164-01","WMT:23-KB-9103-WMT:23-XY-96164-01","WMT:23-KB-9103","WMT:23-XY-96164-01"
"WMT:23-LE-92529-WMT:23-LT-92529","WMT:23-LE-92529-WMT:23-LT-92529","WMT:23-LE-92529","WMT:23-LT-92529"
"WMT:23-LI-96182-01-WMT:23-LT-96182-01","WMT:23-LI-96182-01-WMT:23-LT-96182-01","WMT:23-LI-96182-01","WMT:23-LT-96182-01"
"WMT:23-LI-96182-01-WMT:23-LT-96182-02","WMT:23-LI-96182-01-WMT:23-LT-96182-02","WMT:23-LI-96182-01","WMT:23-LT-96182-02"
"WMT:23-LT-92529-02-WMT:23-LAL-92529-02","WMT:23-LT-92529-02-WMT:23-LAL-92529-02","WMT:23-LT-92529-02","WMT:23-LAL-92529-02"
"WMT:23-LT-96182-02-WMT:23-LAL-96182-02","WMT:23-LT-96182-02-WMT:23-LAL-96182-02","WMT:23-LT-96182-02","WMT:23-LAL-96182-02"
"WMT:23-LV-92521A-WMT:23-LY-92521A","WMT:23-LV-92521A-WMT:23-LY-92521A","WMT:23-LV-92521A","WMT:23-LY-92521A"
"WMT:23-PC-9101-WMT:23-FO-96127","WMT:23-PC-9101-WMT:23-FO-96127","WMT:23-PC-9101","WMT:23-FO-96127"
"WMT:23-PCV-96160-WMT:23-PI-96160","WMT:23-PCV-96160-WMT:23-PI-96160","WMT:23-PCV-96160","WMT:23-PI-96160"
"WMT:23-PDT-96146-WMT:23-PDAH-96146","WMT:23-PDT-96146-WMT:23-PDAH-96146","WMT:23-PDT-96146","WMT:23-PDAH-96146"
